Location;Size;Customer_Segment;Loan_Type;Profit
rural;medium;SME;mortgage;9637
rural;small;SME;personal;21652
rural;medium;retail;business;14103
rural;medium;corporate;mortgage;17616
rural;small;retail;mortgage;7644
suburban;medium;retail;personal;10532
rural;small;retail;business;11261
rural;small;corporate;personal;10568
city;small;SME;mortgage;9241
suburban;small;SME;mortgage;22790
suburban;medium;SME;business;12668
suburban;small;corporate;mortgage;23138
rural;small;SME;business;22907
rural;medium;corporate;personal;9802
rural;medium;SME;business;14559
city;large;SME;business;24356
rural;medium;retail;mortgage;20940
city;medium;corporate;mortgage;10195
suburban;large;retail;business;12687
rural;medium;retail;mortgage;19207
city;medium;retail;mortgage;11330
city;medium;corporate;mortgage;20551
rural;medium;corporate;business;14841
suburban;large;SME;mortgage;13106
suburban;medium;retail;business;23476
suburban;medium;SME;mortgage;16968
city;large;retail;personal;10560
city;small;corporate;mortgage;21082
city;large;corporate;mortgage;21105
city;small;corporate;business;25387
suburban;large;retail;business;14427
rural;large;corporate;mortgage;15796
city;medium;retail;personal;23560
city;small;SME;mortgage;22622
suburban;medium;retail;mortgage;22125
rural;small;SME;personal;10591
rural;large;retail;business;18758
suburban;large;SME;mortgage;21627
suburban;small;corporate;business;19763
rural;medium;SME;business;22409
city;medium;corporate;personal;16621
rural;medium;corporate;personal;10200
suburban;medium;SME;business;22601
city;large;retail;mortgage;12854
city;large;retail;business;22587
suburban;large;retail;mortgage;23432
suburban;large;retail;mortgage;16024
suburban;large;retail;personal;18928
rural;medium;corporate;mortgage;15472
rural;medium;retail;mortgage;7636
city;medium;corporate;business;12529
suburban;medium;corporate;personal;19848
city;large;corporate;mortgage;13594
city;large;SME;mortgage;17706
city;large;SME;personal;11661
city;small;corporate;business;13472
suburban;medium;SME;personal;19869
city;medium;retail;personal;20000
suburban;large;retail;mortgage;9086
suburban;medium;corporate;mortgage;19704
rural;medium;retail;business;15219
suburban;large;corporate;mortgage;24806
rural;small;corporate;mortgage;16143
suburban;small;retail;personal;22749
suburban;small;SME;mortgage;14968
suburban;large;retail;business;21634
rural;medium;retail;personal;10773
rural;large;corporate;business;21696
city;large;corporate;personal;25096
